Name,Value
ZCK,883
USM,792
OYD,895
YKZ,141
IGE,31
NYK,605
PAY,797
QNM,861
OMD,144
KCD,646
HHH,705
CWM,987
FXQ,986
HHK,36
MLT,724
WJG,328
PKW,491
FVH,240
OTO,706
PSK,439
UNN,394
BBT,772
ORA,296
JWG,500
LLT,361
SHW,450
FEJ,808
YVX,903
HLF,787
ONG,913
DHI,476
VLT,429
SUW,951
RNS,826
XES,2
RQT,409
GOX,441
OPL,203
HQQ,818
JYJ,766
VSA,730
CNK,689
FSH,16
YRK,886
WOG,396
MVN,339
KFW,791
AED,119
DLD,134
OXG,690
HFI,917
RZQ,381
PLN,231
GXE,439
YBU,580
FZG,626
ZMA,742
LFH,722
RJL,975
VUK,377
NMI,398
SML,90
OXS,73
AUR,981
VQE,72
UZV,428
WZS,314
XYL,460
ORP,583
TRX,763
RNG,540
GDD,786
MIP,586
WYG,106
LOR,197
UQO,3
SBR,728
XHS,165
PVN,650
TCV,342
XCC,248
LNP,694
VVW,520
DXS,778
DDI,158
HKL,8
FNA,646
QLW,730
AHU,554
PDL,467
JZF,792
NOC,48
QCN,988
ZWO,470
RYZ,483
FDT,225
ZBO,230
SAE,389
CSE,671
LDO,99
XFU,17
LQQ,876
FBQ,946
JMG,471
DSS,128
ZXG,63
EII,731
KDG,412
HHO,888
UUZ,601
BHW,695
XMA,168
AMX,535
DYX,268
TAD,803
UOC,68
GAZ,897
KEK,450
SWI,793
KJH,517
FPC,802
SDF,592
ORL,842
QPT,842
LYE,839
TZO,147
NIT,923
FCL,301
LXM,158
YGN,860
QAJ,841
ZEH,293
WIR,632
FZF,276
HDL,569
NCQ,374
RRZ,817
BKO,459
VMG,104
QGU,888
NSI,865
ZCU,307
KWU,61
QIC,909
WAS,592
XGF,578
KUG,12
LGW,519
LSP,307
SWA,914
EVC,733
JLG,908
UOR,174
ZVA,307
EMV,858
TXK,876
RCV,152
YAD,578
XHQ,786
LXA,416
RIS,215
ZUU,228
OLQ,327
HDX,248
CUW,655
FDG,169
JWJ,175
AQQ,114
MFU,981
ZZP,414
KOV,593
WMU,843
FGX,653
SUS,659
PJN,587
XZL,591
EUW,472
UYW,70
TEX,899
HKC,328
RUO,221
XFF,631
VJP,922
TXJ,429
CIX,402
NQT,697
KAL,573
PNJ,562
ANU,436
IJK,252
SSZ,625
JJK,803
BXN,565
LFJ,692
AFM,916
KIP,847
IKO,482
OKM,613
NNH,275
MEO,882
QQQ,113
CXN,460
QPB,101
UPB,546
DTX,954
CMB,363
AHV,268
KQO,788
ORR,56
LLP,775
EVX,897
KTF,662
UTR,516
WJU,424
OYT,468
MWJ,817
PIA,439
OXJ,938
GXN,76
WOH,219
IKR,475
HEN,190
QTY,253
UXI,418
HKG,745
FZW,564
HHX,457
SBF,632
MXB,448
TMS,487
BFY,551
HAL,799
PLW,287
HZD,30
ZIM,70
VRS,9
SHW,868
BTZ,305
KMZ,927
FYT,470
ANN,591
FJD,229
EJP,380
PTA,521
FOF,59
SPO,58
GPA,3
OIG,903
ASL,496
XDK,583
IZS,988
JDI,645
AXK,627
IKO,430
BUL,654
AZQ,89
ZLW,659
WBL,288
OXE,646
XEI,803
QTN,70
QWK,746
GPG,345
YHY,269
XUF,864
YYX,189
ESD,2
AOH,346
UTZ,583
AVL,769
JNV,248
GEZ,184
YSO,859
SOC,700
IWF,290
MZK,578
TRV,658
XMU,230
QGK,551
JLA,237
KPX,268
SRZ,879
VAO,781
CYL,240
VUW,504
LAM,716
BSW,366
VUA,718
ICS,19
DOJ,686
UUX,565
STK,945
CGN,234
JVS,217
YLY,562
FON,128
BQW,294
VIU,480
BVW,546
KXR,478
